2023-07-03 16:07:649 INFO  HomePage :75 - salary min30000
2023-07-03 16:07:754 INFO  HomePage :80 - salary Max50000
2023-07-03 16:07:841 INFO  HomePage :86 - salary type dropdown methodPer annum
2023-07-03 16:07:915 INFO  HomePage :91 - Select Job TypePermanent
2023-07-03 16:07:989 INFO  HomePage :96 - click on findJobButton[[ChromeDriver: chrome on WINDOWS (c0a5a5246e9ae3f83a6adf5215a05bcb)] -> css selector: input#hp-search-btn]
2023-07-03 16:07:75 INFO  ResultPage :24 - Result Text[[ChromeDriver: chrome on WINDOWS (c0a5a5246e9ae3f83a6adf5215a05bcb)] -> css selector: h1.search-header__title]
2023-07-03 16:07:806 INFO  ManageBrowser :34 - launching chrome browser
2023-07-03 16:07:380 INFO  HomePage :55 - Job Title:Automation Tester
2023-07-03 16:07:548 INFO  HomePage :60 - Location[[ChromeDriver: chrome on WINDOWS (81ae52da815620b3bfb60b041bc9ee03)] -> id: location]
2023-07-03 16:07:655 INFO  HomePage :65 - Distance DropDown Method[[ChromeDriver: chrome on WINDOWS (81ae52da815620b3bfb60b041bc9ee03)] -> id: distance]
2023-07-03 16:07:750 INFO  HomePage :70 - More Search option Link Method[[ChromeDriver: chrome on WINDOWS (81ae52da815620b3bfb60b041bc9ee03)] -> css selector: div.hp-search-more>#toggle-hp-search]
2023-07-03 16:07:794 INFO  HomePage :75 - salary min30000
2023-07-03 16:07:911 INFO  HomePage :80 - salary Max50000
2023-07-03 16:07:21 INFO  HomePage :86 - salary type dropdown methodPer annum
2023-07-03 16:07:108 INFO  HomePage :91 - Select Job TypePermanent
2023-07-03 16:07:183 INFO  HomePage :96 - click on findJobButton[[ChromeDriver: chrome on WINDOWS (81ae52da815620b3bfb60b041bc9ee03)] -> css selector: input#hp-search-btn]
2023-07-03 16:07:376 INFO  ResultPage :24 - Result Text[[ChromeDriver: chrome on WINDOWS (81ae52da815620b3bfb60b041bc9ee03)] -> css selector: h1.search-header__title]
2023-07-03 16:07:724 INFO  ManageBrowser :34 - launching chrome browser
2023-07-03 16:07:464 INFO  HomePage :55 - Job Title:Tester
2023-07-03 16:07:584 INFO  HomePage :60 - Location[[ChromeDriver: chrome on WINDOWS (5f25bc4d0c0adec62128f76a2099baf5)] -> id: location]
2023-07-03 16:07:682 INFO  HomePage :65 - Distance DropDown Method[[ChromeDriver: chrome on WINDOWS (5f25bc4d0c0adec62128f76a2099baf5)] -> id: distance]
2023-07-03 16:07:808 INFO  HomePage :70 - More Search option Link Method[[ChromeDriver: chrome on WINDOWS (5f25bc4d0c0adec62128f76a2099baf5)] -> css selector: div.hp-search-more>#toggle-hp-search]
2023-07-03 16:07:855 INFO  HomePage :75 - salary min30000
2023-07-03 16:07:965 INFO  HomePage :80 - salary Max500000
2023-07-03 16:07:41 INFO  HomePage :86 - salary type dropdown methodPer annum
2023-07-03 16:07:117 INFO  HomePage :91 - Select Job TypePermanent
2023-07-03 16:07:201 INFO  HomePage :96 - click on findJobButton[[ChromeDriver: chrome on WINDOWS (5f25bc4d0c0adec62128f76a2099baf5)] -> css selector: input#hp-search-btn]
2023-07-03 16:07:607 INFO  ResultPage :24 - Result Text[[ChromeDriver: chrome on WINDOWS (5f25bc4d0c0adec62128f76a2099baf5)] -> css selector: h1.search-header__title]
2023-07-03 16:07:294 INFO  ManageBrowser :34 - launching chrome browser
2023-07-03 16:07:681 INFO  HomePage :55 - Job Title:Software Test Engineer
2023-07-03 16:07:847 INFO  HomePage :60 - Location[[ChromeDriver: chrome on WINDOWS (83d64ca36bd8077574d28cd8e37c1d6e)] -> id: location]
2023-07-03 16:07:953 INFO  HomePage :65 - Distance DropDown Method[[ChromeDriver: chrome on WINDOWS (83d64ca36bd8077574d28cd8e37c1d6e)] -> id: distance]
2023-07-03 16:07:40 INFO  HomePage :70 - More Search option Link Method[[ChromeDriver: chrome on WINDOWS (83d64ca36bd8077574d28cd8e37c1d6e)] -> css selector: div.hp-search-more>#toggle-hp-search]
2023-07-03 16:07:104 INFO  HomePage :75 - salary min30000
2023-07-03 16:07:205 INFO  HomePage :80 - salary Max50000
2023-07-03 16:07:289 INFO  HomePage :86 - salary type dropdown methodPer annum
2023-07-03 16:07:360 INFO  HomePage :91 - Select Job TypePermanent
2023-07-03 16:07:449 INFO  HomePage :96 - click on findJobButton[[ChromeDriver: chrome on WINDOWS (83d64ca36bd8077574d28cd8e37c1d6e)] -> css selector: input#hp-search-btn]
2023-07-03 16:07:300 INFO  ResultPage :24 - Result Text[[ChromeDriver: chrome on WINDOWS (83d64ca36bd8077574d28cd8e37c1d6e)] -> css selector: h1.search-header__title]
2023-07-03 16:07:981 INFO  ManageBrowser :34 - launching chrome browser
2023-07-03 16:07:248 INFO  HomePage :55 - Job Title:Test Engineer
2023-07-03 16:07:406 INFO  HomePage :60 - Location[[ChromeDriver: chrome on WINDOWS (2dd15a4030660fc9678004061c3f4d20)] -> id: location]
2023-07-03 16:07:500 INFO  HomePage :65 - Distance DropDown Method[[ChromeDriver: chrome on WINDOWS (2dd15a4030660fc9678004061c3f4d20)] -> id: distance]
2023-07-03 16:07:599 INFO  HomePage :70 - More Search option Link Method[[ChromeDriver: chrome on WINDOWS (2dd15a4030660fc9678004061c3f4d20)] -> css selector: div.hp-search-more>#toggle-hp-search]
2023-07-03 16:07:648 INFO  HomePage :75 - salary min30000
2023-07-03 16:07:747 INFO  HomePage :80 - salary Max50000
2023-07-03 16:07:838 INFO  HomePage :86 - salary type dropdown methodPer annum
2023-07-03 16:07:905 INFO  HomePage :91 - Select Job TypePermanent
2023-07-03 16:07:990 INFO  HomePage :96 - click on findJobButton[[ChromeDriver: chrome on WINDOWS (2dd15a4030660fc9678004061c3f4d20)] -> css selector: input#hp-search-btn]
2023-07-03 16:07:707 INFO  ResultPage :24 - Result Text[[ChromeDriver: chrome on WINDOWS (2dd15a4030660fc9678004061c3f4d20)] -> css selector: h1.search-header__title]
2023-07-03 16:07:408 INFO  ManageBrowser :34 - launching chrome browser
2023-07-03 16:07:778 INFO  HomePage :55 - Job Title:Test Analyst
2023-07-03 16:07:925 INFO  HomePage :60 - Location[[ChromeDriver: chrome on WINDOWS (91f0b6f7798ffaac3b83cc961ce2e84e)] -> id: location]
2023-07-03 16:07:19 INFO  HomePage :65 - Distance DropDown Method[[ChromeDriver: chrome on WINDOWS (91f0b6f7798ffaac3b83cc961ce2e84e)] -> id: distance]
2023-07-03 16:07:119 INFO  HomePage :70 - More Search option Link Method[[ChromeDriver: chrome on WINDOWS (91f0b6f7798ffaac3b83cc961ce2e84e)] -> css selector: div.hp-search-more>#toggle-hp-search]
2023-07-03 16:07:165 INFO  HomePage :75 - salary min30000
2023-07-03 16:07:262 INFO  HomePage :80 - salary Max50000
2023-07-03 16:07:352 INFO  HomePage :86 - salary type dropdown methodPer annum
2023-07-03 16:07:424 INFO  HomePage :91 - Select Job TypePermanent
2023-07-03 16:07:512 INFO  HomePage :96 - click on findJobButton[[ChromeDriver: chrome on WINDOWS (91f0b6f7798ffaac3b83cc961ce2e84e)] -> css selector: input#hp-search-btn]
2023-07-03 16:07:123 INFO  ResultPage :24 - Result Text[[ChromeDriver: chrome on WINDOWS (91f0b6f7798ffaac3b83cc961ce2e84e)] -> css selector: h1.search-header__title]
2023-07-03 16:07:830 INFO  ManageBrowser :34 - launching chrome browser
2023-07-03 16:07:223 INFO  HomePage :55 - Job Title:Qa Engineer
2023-07-03 16:07:371 INFO  HomePage :60 - Location[[ChromeDriver: chrome on WINDOWS (4c586ba3c9dad39786dab1d427fb3529)] -> id: location]
2023-07-03 16:07:469 INFO  HomePage :65 - Distance DropDown Method[[ChromeDriver: chrome on WINDOWS (4c586ba3c9dad39786dab1d427fb3529)] -> id: distance]
2023-07-03 16:07:574 INFO  HomePage :70 - More Search option Link Method[[ChromeDriver: chrome on WINDOWS (4c586ba3c9dad39786dab1d427fb3529)] -> css selector: div.hp-search-more>#toggle-hp-search]
2023-07-03 16:07:620 INFO  HomePage :75 - salary min30000
2023-07-03 16:07:709 INFO  HomePage :80 - salary Max50000
2023-07-03 16:07:795 INFO  HomePage :86 - salary type dropdown methodPer annum
2023-07-03 16:07:880 INFO  HomePage :91 - Select Job TypePermanent
2023-07-03 16:07:960 INFO  HomePage :96 - click on findJobButton[[ChromeDriver: chrome on WINDOWS (4c586ba3c9dad39786dab1d427fb3529)] -> css selector: input#hp-search-btn]
2023-07-03 16:07:516 INFO  ResultPage :24 - Result Text[[ChromeDriver: chrome on WINDOWS (4c586ba3c9dad39786dab1d427fb3529)] -> css selector: h1.search-header__title]
2023-07-03 16:07:209 INFO  ManageBrowser :34 - launching chrome browser
2023-07-03 16:07:531 INFO  HomePage :55 - Job Title:Automation Tester
2023-07-03 16:07:686 INFO  HomePage :60 - Location[[ChromeDriver: chrome on WINDOWS (86a734af66b08bb4ff3f0b1e1608b239)] -> id: location]
2023-07-03 16:07:776 INFO  HomePage :65 - Distance DropDown Method[[ChromeDriver: chrome on WINDOWS (86a734af66b08bb4ff3f0b1e1608b239)] -> id: distance]
